id,category,question,gold_evidence,citations,retrieved_evidence,answer,review_decision,suggested_evidence,reviewer_note
minigeo_053,model_cited_neighbor,识别石英时为什么需要证据来源？,doc_quartz#chunk_001,"doc_quartz#chunk_002, doc_system#chunk_001","doc_muscovite#chunk_002, doc_system#chunk_001, doc_quartz#chunk_001, doc_quartz#chunk_002, doc_system#chunk_006",识别石英时需要证据来源，因为可信的回答需要可追踪的证据来支持结论，例如石英的强拉曼峰接近464 cm-1可作为重要光谱证据，同时返回证据来源便于检查引用是否支持结论。,,,
minigeo_055,model_cited_other,长石的常用组成或化学式是什么？,doc_feldspar#chunk_001,doc_anorthite#chunk_001,"doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_gypsum#chunk_001, doc_dolomite#chunk_001, doc_feldspar#chunk_002",长石的化学组成可表示为 CaAl2Si2O8（以钙长石为例）。,,,
minigeo_056,model_cited_other,识别长石时为什么需要证据来源？,doc_feldspar#chunk_001,"doc_muscovite#chunk_002, doc_system#chunk_001","doc_feldspar#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_001, doc_anorthite#chunk_002, doc_olivine#chunk_002",识别长石时需要证据来源，因为可信回答需要证据来源支持，且RAG回答返回chunk id可以让答案证据来源可追踪，便于检查引用是否支持结论。,,,
minigeo_059,model_cited_other,识别方解石时为什么需要证据来源？,doc_calcite#chunk_001,doc_system#chunk_001,"doc_muscovite#chunk_002, doc_system#chunk_001, doc_calcite#chunk_001, doc_dolomite#chunk_002, doc_quartz#chunk_003",识别方解石时需要证据来源，以便让答案的可追踪性增强，便于检查引用是否支持结论。,,,
minigeo_062,model_cited_neighbor,识别赤铁矿时为什么需要证据来源？,doc_hematite#chunk_001,"doc_hematite#chunk_002, doc_magnetite#chunk_002, doc_system#chunk_001","doc_muscovite#chunk_002, doc_hematite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_001, doc_magnetite#chunk_002",识别赤铁矿时需要证据来源，因为最终结论应结合结构或光谱证据，仅凭单一特征（如磁性）不足以区分赤铁矿与其他矿物（如磁铁矿），且可信回答需可追踪引用以支持结论。,,,
minigeo_065,model_cited_other,识别白云石时为什么需要证据来源？,doc_dolomite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_dolomite#chunk_001, doc_system#chunk_001, doc_dolomite#chunk_002, doc_system#chunk_006",识别白云石时需要证据来源，以便让答案的可追踪性提高，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_068,model_cited_other,识别石膏时为什么需要证据来源？,doc_gypsum#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_gypsum#chunk_001, doc_system#chunk_001, doc_quartz#chunk_002, doc_system#chunk_006",识别石膏时需要证据来源，因为提供证据来源可以让答案的可追踪性提高，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_071,model_cited_neighbor,识别磁铁矿时为什么需要证据来源？,doc_magnetite#chunk_001,doc_magnetite#chunk_002,"doc_muscovite#chunk_002, doc_magnetite#chunk_001, doc_magnetite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_002",识别磁铁矿时需要证据来源，因为虽然磁性可以辅助区分磁铁矿和赤铁矿，但最终结论仍应结合结构或光谱证据，以确保回答的可信度和准确性。,,,
minigeo_074,model_cited_neighbor,识别黄铁矿时为什么需要证据来源？,doc_pyrite#chunk_001,"doc_pyrite#chunk_002, doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_pyrite#chunk_002, doc_pyrite#chunk_001, doc_system#chunk_001, doc_system#chunk_006",识别黄铁矿时需要证据来源，因为仅凭金属光泽无法单独证明其为金或氧化物，必须结合硬度、条痕和成分等证据进行综合判断，以确保结论的准确性和可追踪性。,,,
minigeo_077,model_cited_neighbor,识别橄榄石时为什么需要证据来源？,doc_olivine#chunk_001,"doc_olivine#chunk_002, doc_system#chunk_001","doc_olivine#chunk_001, doc_muscovite#chunk_002, doc_olivine#chunk_002, doc_system#chunk_001, doc_system#chunk_006",识别橄榄石时需要证据来源，因为橄榄石与辉石都可出现在镁铁质岩石中，分类时需要结合晶体结构和谱学证据，且返回证据来源可追踪引用是否支持结论。,,,
minigeo_080,model_cited_neighbor,识别白云母时为什么需要证据来源？,doc_muscovite#chunk_001,"doc_muscovite#chunk_002, doc_system#chunk_001","doc_muscovite#chunk_002, doc_muscovite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别白云母时需要证据来源，因为可信的回答需要可追踪的证据来支持结论，便于检查引用是否准确支持地学解释。,,,
minigeo_083,model_cited_other,识别高岭石时为什么需要证据来源？,doc_kaolinite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_kaolinite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别高岭石时需要证据来源，因为返回证据来源可以让答案的可追踪性提高，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_086,model_cited_neighbor,识别钙长石时为什么需要证据来源？,doc_anorthite#chunk_001,"doc_anorthite#chunk_002, doc_system#chunk_001","doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_001",识别钙长石时需要证据来源，因为提供证据来源可以让答案的可追溯性增强，便于检查引用是否支持结论，同时避免将钙长石误归为其他矿物（如碳酸盐矿物）。,,,
minigeo_131,model_cited_neighbor,比较赤铁矿和磁铁矿时为什么需要多条证据？,"doc_hematite#chunk_001, doc_magnetite#chunk_001",doc_magnetite#chunk_002,"doc_magnetite#chunk_001, doc_hematite#chunk_002, doc_magnetite#chunk_002, doc_hematite#chunk_001, doc_pyrite#chunk_002",需要多条证据是因为单一证据（如磁性）不足以最终区分赤铁矿和磁铁矿，必须结合结构或光谱证据才能得出可靠结论。,,,
minigeo_134,model_cited_neighbor,比较橄榄石和长石时为什么需要多条证据？,"doc_feldspar#chunk_001, doc_olivine#chunk_001","doc_anorthite#chunk_002, doc_feldspar#chunk_002, doc_olivine#chunk_002","doc_olivine#chunk_001, doc_feldspar#chunk_001, doc_olivine#chunk_002, doc_feldspar#chunk_002, doc_anorthite#chunk_002",比较橄榄石和长石时需要多条证据，因为两者在分类和识别时存在混淆风险。橄榄石与辉石同属镁铁质岩石中的矿物，需结合晶体结构和谱学证据区分；而长石与石英同属硅酸盐体系，部分框架振动特征接近，弱峰和噪声易导致混淆。此外，钙长石虽属长石族，但易被误归为碳酸盐矿物，需额外证据确认。,,,
minigeo_135,model_cited_other,MiniGeo 如何避免在回答石英问题时产生无证据结论？,doc_quartz#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_system#chunk_001, doc_quartz#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_136,model_cited_other,MiniGeo 如何避免在回答长石问题时产生无证据结论？,doc_feldspar#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_feldspar#chunk_001, doc_system#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_006",MiniGeo 通过返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_137,model_cited_other,MiniGeo 如何避免在回答方解石问题时产生无证据结论？,doc_calcite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_system#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_006, doc_anorthite#chunk_002, doc_calcite#chunk_001",MiniGeo 通过返回可追踪的 chunk id 来确保答案证据来源明确，同时结合 SQL 和证据返回以提高结构化数据结论和地学解释的可追踪性，从而避免无证据结论。,,,
minigeo_139,model_cited_other,MiniGeo 如何避免在回答白云石问题时产生无证据结论？,doc_dolomite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_system#chunk_001, doc_dolomite#chunk_001, doc_system#chunk_006, doc_anorthite#chunk_002",MiniGeo 通过要求回答必须包含证据来源（如 chunk id）来避免无证据结论，确保答案可追踪；同时，Agent 最终答案同时返回 SQL 和证据，以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_140,model_cited_other,MiniGeo 如何避免在回答石膏问题时产生无证据结论？,doc_gypsum#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_system#chunk_001, doc_gypsum#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_006, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时 Agent 最终答案同时返回 SQL 和证据，可以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_141,model_cited_other,MiniGeo 如何避免在回答磁铁矿问题时产生无证据结论？,doc_magnetite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_magnetite#chunk_002, doc_magnetite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时 Agent 最终答案返回 SQL 和证据，提高了结构化数据结论和地学解释的可追踪性。,,,
minigeo_142,model_cited_neighbor,MiniGeo 如何避免在回答黄铁矿问题时产生无证据结论？,doc_pyrite#chunk_001,"doc_pyrite#chunk_002, doc_system#chunk_001","doc_pyrite#chunk_002, doc_system#chunk_001, doc_pyrite#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过要求回答者结合硬度、条痕和成分等多重证据来避免无证据结论，并返回 chunk id 使答案来源可追踪，便于检查引用是否支持结论。,,,
minigeo_143,model_cited_other,MiniGeo 如何避免在回答橄榄石问题时产生无证据结论？,doc_olivine#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_olivine#chunk_001, doc_system#chunk_001, doc_olivine#chunk_002, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_144,model_cited_other,MiniGeo 如何避免在回答白云母问题时产生无证据结论？,doc_muscovite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_muscovite#chunk_002, doc_muscovite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_kaolinite#chunk_002",MiniGeo 通过返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_145,model_cited_other,MiniGeo 如何避免在回答高岭石问题时产生无证据结论？,doc_kaolinite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_kaolinite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_kaolinite#chunk_002",MiniGeo 通过在回答中返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_147,model_cited_other,MiniGeo 如何避免在回答石英问题时产生无证据结论？,doc_quartz#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_system#chunk_001, doc_quartz#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_148,model_cited_other,MiniGeo 如何避免在回答长石问题时产生无证据结论？,doc_feldspar#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_feldspar#chunk_001, doc_system#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_006",MiniGeo 通过返回 chunk id 使答案证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_149,model_cited_other,MiniGeo 如何避免在回答方解石问题时产生无证据结论？,doc_calcite#chunk_001,"doc_system#chunk_001, doc_system#chunk_006","doc_system#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_006, doc_anorthite#chunk_002, doc_calcite#chunk_001",MiniGeo 通过返回可追踪的 chunk id 来确保答案证据来源明确，同时结合 SQL 和证据返回以提高结构化数据结论和地学解释的可追踪性，从而避免无证据结论。,,,
