system,id,question,expected_evidence,retrieved_ids,category,suspected_cause,next_action
dense,minigeo_015,长石通常包含哪些结构特征？,doc_feldspar#chunk_001,doc_anorthite#chunk_002;doc_olivine#chunk_002;doc_anorthite#chunk_001;doc_quartz#chunk_003;doc_magnetite#chunk_002;doc_system#chunk_001;doc_spectroscopy#chunk_001;doc_calcite#chunk_002;doc_kaolinite#chunk_002;doc_gypsum#chunk_001,same_topic_wrong_chunk,检索到了同 topic 的 chunk，但排序没有命中精确证据。,补充更细粒度 query expansion、chunk metadata 或 reranker 特征。
dense,minigeo_016,一个样本既有 464 cm-1 附近峰又被模型判为长石时，应该如何解释？,doc_quartz#chunk_002;doc_feldspar#chunk_002;doc_spectroscopy#chunk_003,doc_anorthite#chunk_002;doc_anorthite#chunk_001;doc_system#chunk_008;doc_kaolinite#chunk_001;doc_olivine#chunk_001;doc_feldspar#chunk_001;doc_quartz#chunk_003;doc_quartz#chunk_001;doc_dolomite#chunk_002;doc_system#chunk_001,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
dense,minigeo_038,为什么需要 failure case analysis？,doc_system#chunk_005,doc_gypsum#chunk_001;doc_hematite#chunk_001;doc_pyrite#chunk_001;doc_olivine#chunk_001;doc_pyrite#chunk_002;doc_dolomite#chunk_001;doc_system#chunk_011;doc_muscovite#chunk_001;doc_calcite#chunk_001;doc_magnetite#chunk_001,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
dense,minigeo_050,为什么最终报告要包含 latency？,doc_system#chunk_010,doc_gypsum#chunk_001;doc_pyrite#chunk_001;doc_anorthite#chunk_001;doc_magnetite#chunk_001;doc_anorthite#chunk_002;doc_magnetite#chunk_002;doc_olivine#chunk_001;doc_quartz#chunk_002;doc_quartz#chunk_003;doc_hematite#chunk_001,retrieval_gold_missing,检索排序未把 gold evidence 放入 top-k。,扩充语料、改进检索融合权重或提高 candidate_k。
dense,minigeo_051,石英属于哪类矿物？,doc_quartz#chunk_001,doc_anorthite#chunk_002;doc_calcite#chunk_001;doc_hematite#chunk_001;doc_kaolinite#chunk_001;doc_quartz#chunk_003;doc_feldspar#chunk_001;doc_magnetite#chunk_001;doc_dolomite#chunk_001;doc_quartz#chunk_002;doc_gypsum#chunk_002,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
dense,minigeo_056,识别长石时为什么需要证据来源？,doc_feldspar#chunk_001,doc_muscovite#chunk_002;doc_olivine#chunk_002;doc_pyrite#chunk_002;doc_spectroscopy#chunk_001;doc_anorthite#chunk_002;doc_quartz#chunk_002;doc_system#chunk_001;doc_spectroscopy#chunk_003;doc_olivine#chunk_001;doc_anorthite#chunk_001,same_topic_wrong_chunk,检索到了同 topic 的 chunk，但排序没有命中精确证据。,补充更细粒度 query expansion、chunk metadata 或 reranker 特征。
dense,minigeo_058,方解石的常用组成或化学式是什么？,doc_calcite#chunk_001,doc_pyrite#chunk_001;doc_magnetite#chunk_001;doc_gypsum#chunk_001;doc_dolomite#chunk_001;doc_calcite#chunk_002;doc_gypsum#chunk_002;doc_feldspar#chunk_001;doc_anorthite#chunk_001;doc_dolomite#chunk_002;doc_system#chunk_001,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
dense,minigeo_059,识别方解石时为什么需要证据来源？,doc_calcite#chunk_001,doc_muscovite#chunk_002;doc_quartz#chunk_002;doc_olivine#chunk_002;doc_spectroscopy#chunk_001;doc_system#chunk_001;doc_dolomite#chunk_002;doc_pyrite#chunk_002;doc_calcite#chunk_002;doc_quartz#chunk_003;doc_gypsum#chunk_002,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
dense,minigeo_082,高岭石的常用组成或化学式是什么？,doc_kaolinite#chunk_001,doc_dolomite#chunk_001;doc_pyrite#chunk_001;doc_magnetite#chunk_001;doc_gypsum#chunk_001;doc_feldspar#chunk_001;doc_anorthite#chunk_001;doc_olivine#chunk_001;doc_pyrite#chunk_002;doc_quartz#chunk_001;doc_calcite#chunk_002,same_topic_wrong_chunk,检索到了同 topic 的 chunk，但排序没有命中精确证据。,补充更细粒度 query expansion、chunk metadata 或 reranker 特征。
dense,minigeo_098,如果问题声称钙长石是碳酸盐矿物，但证据显示其属于长石族硅酸盐，系统应如何回答？,doc_anorthite#chunk_001,doc_anorthite#chunk_002;doc_calcite#chunk_001;doc_hematite#chunk_001;doc_kaolinite#chunk_001;doc_quartz#chunk_003;doc_kaolinite#chunk_002;doc_olivine#chunk_001;doc_muscovite#chunk_001;doc_feldspar#chunk_001;doc_feldspar#chunk_002,evidence_label_narrow,检索到了同一文档的相关 chunk，但 benchmark 只标了更窄的 gold chunk。,人工复核 retrieved chunk 是否也能支撑答案；若能支撑，应扩充 evidence label。
hybrid_rerank,minigeo_038,为什么需要 failure case analysis？,doc_system#chunk_005,doc_pyrite#chunk_002;doc_system#chunk_011;doc_dolomite#chunk_002;doc_olivine#chunk_002;doc_muscovite#chunk_002;doc_gypsum#chunk_001;doc_pyrite#chunk_001;doc_anorthite#chunk_002;doc_dolomite#chunk_001;doc_quartz#chunk_001,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_050,为什么最终报告要包含 latency？,doc_system#chunk_010,doc_magnetite#chunk_002;doc_system#chunk_006;doc_gypsum#chunk_001;doc_dolomite#chunk_002;doc_quartz#chunk_002;doc_pyrite#chunk_002;doc_pyrite#chunk_001;doc_anorthite#chunk_001;doc_magnetite#chunk_001;doc_anorthite#chunk_002,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_056,识别长石时为什么需要证据来源？,doc_feldspar#chunk_001,doc_muscovite#chunk_002;doc_quartz#chunk_002;doc_olivine#chunk_002;doc_system#chunk_001;doc_pyrite#chunk_002;doc_spectroscopy#chunk_001;doc_anorthite#chunk_002;doc_anorthite#chunk_001;doc_system#chunk_006;doc_system#chunk_002,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_098,如果问题声称钙长石是碳酸盐矿物，但证据显示其属于长石族硅酸盐，系统应如何回答？,doc_anorthite#chunk_001,doc_anorthite#chunk_002;doc_calcite#chunk_001;doc_kaolinite#chunk_001;doc_feldspar#chunk_001;doc_hematite#chunk_001;doc_olivine#chunk_001;doc_dolomite#chunk_001;doc_kaolinite#chunk_002;doc_feldspar#chunk_002;doc_quartz#chunk_003,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_135,MiniGeo 如何避免在回答石英问题时产生无证据结论？,doc_quartz#chunk_001,doc_system#chunk_006;doc_system#chunk_001;doc_anorthite#chunk_002;doc_olivine#chunk_002;doc_spectroscopy#chunk_003;doc_system#chunk_007;doc_muscovite#chunk_002;doc_quartz#chunk_002;doc_magnetite#chunk_002;doc_system#chunk_012,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_136,MiniGeo 如何避免在回答长石问题时产生无证据结论？,doc_feldspar#chunk_001,doc_anorthite#chunk_002;doc_system#chunk_006;doc_system#chunk_001;doc_olivine#chunk_002;doc_spectroscopy#chunk_003;doc_system#chunk_007;doc_muscovite#chunk_002;doc_magnetite#chunk_002;doc_system#chunk_012;doc_system#chunk_009,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_137,MiniGeo 如何避免在回答方解石问题时产生无证据结论？,doc_calcite#chunk_001,doc_system#chunk_006;doc_system#chunk_001;doc_anorthite#chunk_002;doc_muscovite#chunk_002;doc_olivine#chunk_002;doc_spectroscopy#chunk_003;doc_system#chunk_007;doc_calcite#chunk_003;doc_magnetite#chunk_002;doc_calcite#chunk_002,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_138,MiniGeo 如何避免在回答赤铁矿问题时产生无证据结论？,doc_hematite#chunk_001,doc_magnetite#chunk_002;doc_system#chunk_006;doc_system#chunk_001;doc_spectroscopy#chunk_003;doc_anorthite#chunk_002;doc_olivine#chunk_002;doc_pyrite#chunk_002;doc_system#chunk_007;doc_muscovite#chunk_002;doc_hematite#chunk_002,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_140,MiniGeo 如何避免在回答石膏问题时产生无证据结论？,doc_gypsum#chunk_001,doc_system#chunk_006;doc_system#chunk_001;doc_anorthite#chunk_002;doc_olivine#chunk_002;doc_spectroscopy#chunk_003;doc_muscovite#chunk_002;doc_system#chunk_007;doc_magnetite#chunk_002;doc_system#chunk_012;doc_system#chunk_009,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
hybrid_rerank,minigeo_145,MiniGeo 如何避免在回答高岭石问题时产生无证据结论？,doc_kaolinite#chunk_001,doc_system#chunk_006;doc_system#chunk_001;doc_anorthite#chunk_002;doc_olivine#chunk_002;doc_spectroscopy#chunk_003;doc_system#chunk_007;doc_muscovite#chunk_002;doc_kaolinite#chunk_002;doc_system#chunk_009;doc_magnetite#chunk_002,reranker_demoted_gold,reranker 或 rerank 特征把已召回的 gold evidence 排到了 top-k 之外。,检查 reranker 输入候选、分数和 top-k；真实 reranker 消融时重点复核这类样例。
